teamIdHome,teamIdAway,home_team_position,away_team_position,matchweek,homeGF,homeGA,awayGF,awayGA,homeLast1,homeLast2,homeLast3,homeLast4,homeLast5,awayLast1,awayLast2,awayLast3,awayLast4,awayLast5,o35
6,18,18,5,31,38,37,39,44,0,1,0.5,0,0.5,0,1,1,1,1,0
15,14,14,4,31,37,34,39,45,0.5,1,0.5,0.5,0,0,0,1,1,1,0
7,19,11,6,31,43,39,34,33,1,0,1,0,0,1,1,0,1,1,0
4,11,8,13,31,45,35,37,46,0,0.5,0.5,1,1,0,0,0.5,0,1,0
3,5,2,7,32,57,37,23,37,1,1,1,0,1,0.5,1,0.5,1,0.5,0
19,2,6,1,32,35,35,43,44,1,1,0,1,1,0.5,1,0,1,1,0
6,17,18,16,32,40,37,45,53,0,1,0.5,0,0.5,0.5,1,0.5,0,0,1
11,9,13,19,32,37,47,50,38,0,0,0.5,0,1,0.5,0,0,0.5,0,0
1,7,3,11,32,55,42,45,40,1,0.5,1,0.5,1,1,0,1,0,0,0
16,4,15,8,32,32,51,46,35,0,0.5,0,0,1,0,0.5,0.5,1,1,0
10,13,20,12,32,36,40,31,41,0,0.5,0,0,0,0,1,0,0.5,1,0
14,12,4,9,32,39,47,35,37,0,0,1,1,1,0.5,0,0,1,0,0
18,15,5,14,32,39,46,39,34,0,1,1,1,1,0.5,1,0.5,0.5,0,1
20,8,10,17,32,57,45,42,40,1,0,0,1,0,0.5,0.5,0,0,0,0
2,1,1,3,33,44,44,58,42,0.5,1,0,1,1,1,0.5,1,0.5,1,0
5,6,7,18,33,24,39,42,40,0.5,1,0.5,1,0.5,0,1,0.5,0,0.5,0
9,16,19,15,33,51,40,32,51,0.5,0,0,0.5,0,0,0.5,0,0,1,0
13,3,12,2,33,31,41,59,38,0,1,0,0.5,1,1,1,1,0,1,0
8,11,17,13,33,42,42,39,48,0.5,0.5,0,0,0,0,0,0.5,0,1,0
17,18,16,5,33,48,55,42,48,0.5,1,0.5,0,0,0,1,1,1,1,0
7,10,11,20,33,45,43,36,40,1,0,1,0,0,0,0.5,0,0,0,1
4,14,8,4,33,46,35,40,48,0,0.5,0.5,1,1,0,0,1,1,1,0
12,15,9,14,33,36,38,41,37,0.5,0,0,1,0,0.5,1,0.5,0.5,0,1
19,20,6,10,33,35,36,59,45,1,1,0,1,1,1,0,0,1,0,0
17,5,16,7,34,48,57,24,40,0.5,1,0.5,0,0,0.5,1,0.5,1,0.5,0
1,20,3,10,34,59,44,59,48,1,0.5,1,0.5,1,1,0,0,1,0,0
11,19,13,6,34,42,48,38,36,0,0,0.5,0,1,1,1,0,1,1,0
10,2,20,1,34,37,44,46,45,0,0.5,0,0,0,0.5,1,0,1,1,0
14,9,4,19,34,41,50,51,43,0,0,1,1,1,0.5,0,0,0.5,0,0
6,13,18,12,34,43,40,33,41,0,1,0.5,0,0.5,0,1,0,0.5,1,1
15,4,14,8,34,44,40,48,36,0.5,1,0.5,0.5,0,0,0.5,0.5,1,1,0
16,8,15,17,34,35,51,42,45,0,0.5,0,0,1,0.5,0.5,0,0,0,0
18,12,5,9,34,44,48,39,41,0,1,1,1,1,0.5,0,0,1,0,0
3,7,2,11,34,59,40,49,44,1,1,1,0,1,1,0,1,0,0,0
4,12,8,9,35,48,37,39,42,0,0.5,0.5,1,1,0.5,0,0,1,0,0
2,3,1,2,35,47,45,59,41,0.5,1,0,1,1,1,1,1,0,1,0
5,18,7,5,35,26,41,45,48,0.5,1,0.5,1,0.5,0,1,1,1,1,0
20,10,10,20,35,60,48,37,45,1,0,0,1,0,0,0.5,0,0,0,0
7,6,11,18,35,50,44,46,42,1,0,1,0,0,0,1,0.5,0,0.5,1
13,17,12,16,35,35,44,49,59,0,1,0,0.5,1,0.5,1,0.5,0,0,0
19,16,6,15,35,38,38,36,51,1,1,0,1,1,0,0.5,0,0,1,0
8,14,17,4,35,42,46,42,52,0.5,0.5,0,0,0,0,0,1,1,1,0
1,11,3,13,35,59,45,44,48,1,0.5,1,0.5,1,0,0,0.5,0,1,0
9,15,19,14,35,53,44,45,40,0.5,0,0,0.5,0,0.5,1,0.5,0.5,0,0
6,2,18,1,36,46,46,47,47,0,1,0.5,0,0.5,0.5,1,0,1,1,0
18,4,5,8,36,45,49,49,37,0,1,1,1,1,0,0.5,0.5,1,1,1
